time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev,ankle_angle_l,delta_t,knee_angular_vel_r,ankle_angular_vel_r,knee_angular_vel_l,ankle_angular_vel_l
3.615,-31.00592235,-145.4960659,-26.50451394,-1.21844129,3.61,-7.37005239,-7.63207828,5.89348824,5.88133481,-2.76270262,-2.47320069,-15.39821707,-15.27019842,0.005,-52.405178,-2.430686,57.900386,25.60373
3.62,-30.41842632,-146.6142431,-26.34449823,-1.3004949,3.615,-7.63207828,-7.8969632,5.88133481,5.83492252,-2.47320069,-2.33249808,-15.27019842,-15.0833082,0.005,-52.976984,-9.282458,28.140522,37.378044
3.625,-29.79086007,-147.5688105,-25.94503287,-1.35498748,3.62,-7.8969632,-8.15194458,5.83492252,5.76822451,-2.33249808,-2.33321405,-15.0833082,-14.85536761,0.005,-50.996276,-13.339602,-0.143194,45.588118
3.63,-29.11761576,-148.3476033,-25.30836627,-1.38057557,3.625,-8.15194458,-8.42175872,5.76822451,5.65850146,-2.33321405,-2.48272083,-14.85536761,-14.62588374,0.005,-53.962828,-21.94461,-29.901356,45.896774
3.635,-28.39117812,-148.9368177,-24.44460295,-1.37663408,3.63,-8.42175872,-8.66994406,5.65850146,5.52049592,-2.48272083,-2.78762894,-14.62588374,-14.33837431,0.005,-49.637068,-27.601108,-60.981622,57.501886
3.64,-27.60285734,-149.3211041,-23.3715465,-1.34321998,3.635,-8.66994406,-8.9515105,5.52049592,5.35121415,-2.78762894,-3.15278974,-14.33837431,-14.13664275,0.005,-56.313288,-33.856354,-73.03216,40.346312
3.645,-26.74374587,-149.4842867,-22.11409486,-1.2809975,3.64,-8.9515105,-9.24531567,5.35121415,5.18457144,-3.15278974,-3.62611761,-14.13664275,-13.92445012,0.005,-58.761034,-33.328542,-94.665574,42.438526
3.65,-25.80625712,-149.4089988,-20.70322092,-1.19113752,3.645,-9.24531567,-9.545286,5.18457144,4.98298183,-3.62611761,-4.17635241,-13.92445012,-13.72326657,0.005,-59.994066,-40.317922,-110.04696,40.23671
3.655,-24.78219389,-149.0739161,-19.17458434,-1.07520905,3.65,-9.545286,-9.85446617,4.98298183,4.75359075,-4.17635241,-4.77709469,-13.72326657,-13.54378873,0.005,-61.836034,-45.878216,-120.148456,35.895568
3.66,-23.66442462,-148.4554002,-17.56682486,-0.93508194,3.655,-9.85446617,-10.16665282,4.75359075,4.49657458,-4.77709469,-5.41503189,-13.54378873,-13.35560285,0.005,-62.43733,-51.403234,-127.58744,37.637176
3.665,-22.44034249,-147.5290381,-15.91962092,-0.77285639,3.66,-10.16665282,-10.48171302,4.49657458,4.18929121,-5.41503189,-6.0655063,-13.35560285,-13.22508267,0.005,-63.01204,-61.456674,-130.094882,26.104036
3.67,-21.09586264,-146.2709733,-14.27166141,-0.5908293,3.665,-10.48171302,-10.82669477,4.18929121,3.87487823,-6.0655063,-6.69290976,-13.22508267,-13.13805149,0.005,-68.99635,-62.882596,-125.480692,17.406236
3.675,-19.62814955,-144.6591853,-12.65871435,-0.3915009,3.67,-10.82669477,-11.18895209,3.87487823,3.50400234,-6.69290976,-7.31979041,-13.13805149,-13.10315565,0.005,-72.451464,-74.175178,-125.37613,6.979168
3.68,-18.03341307,-142.6705784,-11.11195968,-0.17761797,3.675,-11.18895209,-11.56338524,3.50400234,3.13066741,-7.31979041,-7.88023905,-13.10315565,-13.19174461,0.005,-74.88663,-74.666986,-112.089728,-17.717792
3.685,-16.30662362,-140.2803711,-14.5503507,1.80941633,3.68,-11.56338524,-11.95268665,3.13066741,2.67412162,-7.88023905,-8.39863483,-13.19174461,-13.4273102,0.005,-77.860282,-91.309158,-103.679156,-47.113118
3.69,-14.44285017,-137.4626994,-14.44415215,3.12986704,3.685,-11.95268665,-12.36058691,2.67412162,2.20074165,-8.39863483,-8.88531426,-13.4273102,-13.83378285,0.005,-81.580052,-94.675994,-97.335886,-81.29453
3.695,-12.43876652,-134.1886841,-13.77853605,4.74794661,3.69,-12.36058691,-12.79438929,2.20074165,1.66799992,-8.88531426,-9.30726924,-13.83378285,-14.4608739,0.005,-86.760476,-106.548346,-84.390996,-125.41821
3.7,-10.29898215,-130.4277934,-12.09009433,6.56030671,3.695,-12.79438929,-13.27343515,1.66799992,1.09842217,-9.30726924,-9.6864413,-14.4608739,-15.31693943,0.005,-95.809172,-113.91555,-75.834412,-171.213106
3.705,-8.03980063,-126.1465391,-9.06219467,8.4218444,3.7,-13.27343515,-13.76629874,1.09842217,0.47056435,-9.6864413,-10.058208,-15.31693943,-16.31286103,0.005,-98.572718,-125.571564,-74.35334,-199.18432
3.71,-5.68036622,-121.3233685,-4.79947676,10.18040154,3.705,-13.76629874,-14.3229032,0.47056435,-0.20433029,-10.058208,-10.41127417,-16.31286103,-17.44202226,0.005,-111.320892,-134.978928,-70.613234,-225.832246
3.715,-3.24362551,-115.9520918,0.26780467,11.69244489,3.71,-14.3229032,-14.89962251,-0.20433029,-0.94436119,-10.41127417,-10.8022049,-17.44202226,-18.56773461,0.005,-115.343862,-148.00618,-78.186146,-225.14247
3.72,-0.77585222,-110.0305514,5.73569156,12.84186024,3.715,-14.89962251,-15.54610873,-0.94436119,-1.74422218,-10.8022049,-11.22483722,-18.56773461,-19.63511349,0.005,-129.297244,-159.972198,-84.526464,-213.475776
3.725,1.64954046,-103.5701599,11.30331872,13.53951009,3.72,-15.54610873,-16.22029125,-1.74422218,-2.63380465,-11.22483722,-11.70240795,-19.63511349,-20.51958563,0.005,-134.836504,-177.916494,-95.514146,-176.894428
3.73,3.94615603,-96.59472606,16.82995193,13.73999647,3.725,-16.22029125,-16.9475576,-2.63380465,-3.59905193,-11.70240795,-12.25743363,-20.51958563,-21.246415,0.005,-145.45327,-193.049456,-111.005136,-145.365874
3.735,6.03023681,-89.14285088,22.29311146,13.45740264,3.73,-16.9475576,-17.73151921,-3.59905193,-4.67290213,-12.25743363,-12.87613406,-21.246415,-21.72535207,0.005,-156.792322,-214.77004,-123.740086,-95.787414
3.74,7.82418916,-81.26879003,27.73098473,12.76539924,3.735,-17.73151921,-18.56786846,-4.67290213,-5.87544481,-12.87613406,-13.55553106,-21.72535207,-21.94506344,0.005,-167.26985,-240.508536,-135.8794,-43.942274
3.745,9.25013028,-73.0501719,33.09681378,11.75024193,3.74,-18.56786846,-19.40147845,-5.87544481,-7.37200651,-13.55553106,-14.33659711,-21.94506344,-21.78793411,0.005,-166.721998,-299.31234,-156.21321,31.425866
3.75,10.3448367,-64.59617121,38.27527321,10.49418468,3.745,-19.40147845,-20.36808031,-7.37200651,-8.80623607,-14.33659711,-15.0504471,-21.78793411,-21.60524501,0.005,-193.320372,-286.845912,-142.769998,36.53782
3.755,11.07150075,-56.04257555,43.13758238,9.06766046,3.75,-20.36808031,-21.3825405,-8.80623607,-10.49421857,-15.0504471,-15.82058734,-21.60524501,-21.15102691,0.005,-202.892038,-337.5965,-154.028048,90.84362
3.76,11.33159562,-47.55339344,47.62189136,7.52880276,3.755,-21.3825405,-22.42001604,-10.49421857,-12.39681427,-15.82058734,-16.57846905,-21.15102691,-20.5287697,0.005,-207.495108,-380.51914,-151.576342,124.451442
3.765,11.18163144,-39.31460212,51.7324935,5.92607174,3.76,-22.42001604,-23.44606491,-12.39681427,-14.58242857,-16.57846905,-17.32121098,-20.5287697,-19.77805618,0.005,-205.209774,-437.12286,-148.548386,150.142704
3.77,10.70441279,-31.52263031,55.50123401,4.30373955,3.765,-23.44606491,-24.60697817,-14.58242857,-16.72643303,-17.32121098,-17.95233065,-19.77805618,-19.1104978,0.005,-232.182652,-428.800892,-126.223934,133.511676
3.775,9.979959,-24.37144863,58.93743352,2.69882769,3.77,-24.60697817,-25.78856535,-16.72643303,-19.03680508,-17.95233065,-18.54477192,-19.1104978,-18.36527966,0.005,-236.317436,-462.07441,-118.488254,149.043628
3.78,9.05239218,-18.03187026,62.01758891,1.13665779,3.775,-25.78856535,-27.02143816,-19.03680508,-21.387415,-18.54477192,-19.05635765,-18.36527966,-17.66454706,0.005,-246.574562,-470.121984,-102.317146,140.14652
3.785,7.91791383,-12.62869528,64.70512629,-0.36622356,3.78,-27.02143816,-28.29954617,-21.387415,-23.69383424,-19.05635765,-19.47556549,-17.66454706,-17.01092593,0.005,-255.621602,-461.283848,-83.841568,130.724226
