,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
62,3.885,-5.82933568,1.00355632,0.30578304,-26.5151474,3.875,3.88,-52.29457669,-50.70113836,-49.07191346,-4.63711146,-4.23680094,-3.85683948,-9.12703512,-8.89046839,-8.6752584,8.49566656,8.70326898,8.91798356
63,3.89,-6.1507586,1.02434623,-0.0187234,-27.49026214,3.88,3.885,-50.70113836,-49.07191346,-47.40915111,-4.23680094,-3.85683948,-3.49765189,-8.89046839,-8.6752584,-8.48281727,8.70326898,8.91798356,9.1446368
64,3.895,-6.49329015,1.03902537,-0.29520568,-28.4906931,3.885,3.89,-49.07191346,-47.40915111,-45.71476121,-3.85683948,-3.49765189,-3.15884104,-8.6752584,-8.48281727,-8.31679388,8.91798356,9.1446368,9.38415573
65,3.9,-6.86356827,1.0461519,-0.52356146,-29.52198198,3.89,3.895,-47.40915111,-45.71476121,-43.99154163,-3.49765189,-3.15884104,-2.84144579,-8.48281727,-8.31679388,-8.18102629,9.1446368,9.38415573,9.64277677
66,3.905,-7.26954011,1.04427914,-0.70320337,-30.58910285,3.895,3.9,-45.71476121,-43.99154163,-42.24183287,-3.15884104,-2.84144579,-2.53308537,-8.31679388,-8.18102629,-8.07247271,9.38415573,9.64277677,9.9168784
67,3.91,-7.72035037,1.0320308,-0.8335886,-31.69617342,3.9,3.905,-43.99154163,-42.24183287,-40.46763044,-2.84144579,-2.53308537,-2.24034181,-8.18102629,-8.07247271,-7.99445003,9.64277677,9.9168784,10.2153313
68,3.915,-8.5199787,0.9886121,-0.91552711,-32.84674965,3.905,3.91,-42.24183287,-40.46763044,-38.67745954,-2.53308537,-2.24034181,-2.00509747,-8.07247271,-7.99445003,-7.94625403,9.9168784,10.2153313,10.49675513
69,3.92,-9.4016108,0.93386086,-0.95048923,-34.04314139,3.91,3.915,-40.46763044,-38.67745954,-36.86405279,-2.24034181,-2.00509747,-1.70312215,-7.99445003,-7.94625403,-7.9296506,10.2153313,10.49675513,10.87152579
70,3.925,-10.34629154,0.86872792,-0.94075611,-35.28629556,3.915,3.92,-38.67745954,-36.86405279,-35.04614214,-2.00509747,-1.70312215,-1.41185954,-7.94625403,-7.9296506,-7.94036411,10.49675513,10.87152579,11.23053253
71,3.93,-11.34060543,0.79379472,-0.88948304,-36.5758363,3.92,3.925,-36.86405279,-35.04614214,-33.23073496,-1.70312215,-1.41185954,-1.14264421,-7.9296506,-7.94036411,-7.97501875,10.87152579,11.23053253,11.58813919
72,3.935,-12.36760232,0.70994286,-0.7986144,-37.90932682,3.925,3.93,-35.04614214,-33.23073496,-31.42167231,-1.41185954,-1.14264421,-0.87310773,-7.94036411,-7.97501875,-8.03538672,11.23053253,11.58813919,11.95376127
73,3.94,-13.51485971,0.63136552,-0.66785995,-39.28228585,3.93,3.935,-33.23073496,-31.42167231,-29.62665899,-1.14264421,-0.87310773,-0.65337265,-7.97501875,-8.03538672,-8.12332773,11.58813919,11.95376127,12.29454934
74,3.945,-14.79823628,0.57180553,-0.49479415,-40.68870204,3.935,3.94,-31.42167231,-29.62665899,-27.91998629,-0.87310773,-0.65337265,-0.31541403,-8.03538672,-8.12332773,-8.26152349,11.95376127,12.29454934,12.6910722
75,3.95,-15.90607774,0.50014086,-0.27444085,-42.12119529,3.94,3.945,-29.62665899,-27.91998629,-26.23695791,-0.65337265,-0.31541403,-0.0229133,-8.12332773,-8.26152349,-8.38910388,12.29454934,12.6910722,13.00670571
76,3.955,-16.82622418,0.41635988,0.0009293,-43.5706768,3.945,3.95,-27.91998629,-26.23695791,-24.65310829,-0.31541403,-0.0229133,0.36910862,-8.26152349,-8.38910388,-8.58551954,12.6910722,13.00670571,13.38529168
77,3.96,-17.55701741,0.32127219,0.34010027,-45.02655381,3.95,3.955,-26.23695791,-24.65310829,-23.15947769,-0.0229133,0.36910862,0.75261427,-8.38910388,-8.58551954,-8.78267876,13.00670571,13.38529168,13.70760261
